account_id,customer_id,account_type,balance
100644,331,Current,384168
100645,332,Salary,417863
100646,333,Current,23996
100647,334,Current,274600
100648,334,Savings,932628
100649,334,Savings,577452
100650,335,Savings,101905
100651,336,Current,853459
100652,336,Current,441500
100653,337,Current,55418
100654,338,Current,692962
100655,338,Current,884934
100656,339,Salary,158531
100657,339,Current,720886
100658,340,Current,816423
100659,340,Current,711814
100660,340,Savings,635168
100661,341,Savings,500874
100662,341,Salary,910084
100663,342,Salary,305256
100664,342,Savings,295401
100665,342,Current,894364
100666,343,Salary,471639
100667,344,Salary,81301
100668,344,Savings,86247
100669,344,Current,482471
100670,345,Savings,416623
100671,346,Savings,764648
100672,347,Savings,774148
100673,348,Current,435584
100674,349,Savings,453404
100675,349,Salary,661160
100676,350,Savings,663457
100677,350,Salary,343222
100678,350,Salary,145203
100679,351,Current,128228
100680,352,Salary,548736
100681,352,Salary,743379
100682,352,Salary,222190
100683,353,Savings,458051
100684,353,Salary,565720
100685,354,Savings,177366
100686,355,Savings,554722
100687,355,Current,20390
100688,356,Salary,710403
100689,357,Salary,552010
100690,357,Current,319960
100691,357,Current,921944
100692,358,Salary,123130
100693,359,Current,289234
100694,359,Salary,953807
100695,360,Salary,769443
100696,361,Savings,370748
100697,362,Current,783550
100698,363,Salary,808369
100699,363,Savings,807923
100700,363,Current,10845
100701,364,Current,889100
100702,365,Savings,820233
100703,366,Salary,987681
100704,367,Current,162026
100705,367,Savings,175783
100706,367,Salary,154815
100707,368,Savings,185987
100708,368,Salary,918836
100709,369,Current,165579
100710,369,Salary,417176
100711,369,Current,833098
100712,370,Savings,489031
100713,371,Salary,835403
100714,372,Salary,486859
100715,372,Salary,226754
100716,373,Current,78119
100717,373,Savings,510891
100718,373,Current,768560
100719,374,Current,639099
100720,374,Savings,544584
100721,375,Salary,962432
100722,375,Salary,574266
100723,375,Savings,444367
100724,376,Salary,134786
100725,376,Current,971305
100726,376,Salary,207935
100727,377,Salary,291228
100728,377,Savings,268721
100729,377,Savings,647656
100730,378,Savings,142730
100731,378,Current,446620
100732,379,Salary,897260
100733,379,Savings,601288
100734,379,Salary,488525
100735,380,Savings,690490
100736,380,Current,98263
100737,380,Savings,363246
100738,381,Salary,164617
100739,382,Salary,791046
100740,383,Current,261500
100741,384,Savings,639010
100742,385,Current,654375
100743,385,Savings,409993
100744,386,Salary,910079
100745,386,Savings,942543
100746,386,Current,36812
100747,387,Salary,955991
100748,387,Salary,588184
100749,388,Salary,972753
100750,388,Savings,508933
100751,388,Savings,302584
100752,389,Current,689987
100753,390,Current,773167
100754,391,Current,869802
100755,391,Current,256051
100756,391,Salary,107130
100757,392,Current,508526
100758,392,Savings,749380
100759,393,Current,514837
100760,393,Salary,47263
100761,394,Salary,474689
100762,394,Current,511547
100763,395,Savings,618643
100764,396,Current,765984
100765,396,Salary,665798
100766,397,Current,290707
100767,397,Current,573739
100768,397,Salary,11050
100769,398,Salary,107136
100770,398,Savings,450466
100771,399,Savings,350867
100772,400,Salary,244702
100773,400,Savings,801269
100774,400,Current,607495
100775,401,Salary,701992
100776,402,Current,142928
100777,403,Current,208631
100778,404,Savings,827350
100779,405,Salary,11487
100780,405,Salary,324652
100781,405,Salary,333071
100782,406,Current,879315
100783,406,Savings,187138
100784,407,Savings,668072
100785,407,Current,287384
100786,408,Salary,586091
100787,408,Salary,570351
100788,409,Savings,534026
100789,409,Savings,472060
100790,409,Current,448888
100791,410,Savings,83434
100792,410,Salary,87786
100793,410,Salary,479496
100794,411,Salary,916851
100795,411,Current,205367
100796,411,Savings,216977
100797,412,Current,307537
100798,413,Savings,183668
100799,413,Current,263179
100800,413,Savings,942836
100801,414,Salary,85526
100802,414,Current,774238
100803,415,Current,451926
100804,416,Salary,893074
100805,416,Savings,23448
100806,416,Salary,233805
100807,417,Current,261228
100808,417,Salary,117627
100809,417,Salary,700495
100810,418,Current,605885
100811,418,Savings,459705
100812,418,Savings,477724
100813,419,Current,387112
100814,420,Salary,926579
100815,420,Savings,56496
100816,420,Savings,812000
100817,421,Current,573475
100818,422,Salary,698430
100819,422,Salary,130330
100820,423,Current,335048
100821,424,Current,623573
100822,425,Salary,762040
100823,426,Current,271442
100824,426,Salary,170011
100825,427,Salary,907336
100826,427,Salary,281709
100827,428,Salary,594487
100828,429,Savings,72499
100829,429,Savings,960083
100830,430,Current,937603
100831,431,Current,922740
100832,431,Savings,951623
100833,431,Savings,237570
100834,432,Savings,667861
100835,432,Current,297779
100836,433,Savings,342949
100837,433,Savings,916485
100838,433,Salary,59515
100839,434,Savings,497313
100840,434,Salary,847443
100841,434,Salary,542461
100842,435,Salary,374403
100843,435,Savings,403856
100844,436,Salary,789018
100845,437,Salary,827869
100846,437,Savings,620051
100847,438,Salary,598758
100848,438,Savings,648784
100849,438,Current,584888
100850,439,Current,964774
100851,439,Current,246981
100852,440,Savings,542419
100853,441,Savings,317383
100854,441,Current,439054
100855,441,Current,378022
100856,442,Current,955520
100857,442,Current,408329
100858,443,Savings,751064
100859,443,Salary,163325
100860,443,Savings,822867
100861,444,Salary,638794
100862,444,Savings,894402
100863,445,Savings,432300
100864,445,Savings,464970
100865,446,Current,222326
100866,446,Savings,238765
100867,446,Savings,725115
100868,447,Savings,7352
100869,447,Savings,41895
100870,448,Savings,827905
100871,448,Current,311109
100872,448,Savings,749220
100873,449,Current,89066
100874,450,Salary,48665
100875,451,Savings,837643
100876,451,Salary,493379
100877,451,Salary,431998
100878,452,Savings,214380
100879,453,Salary,920240
100880,453,Salary,903882
100881,453,Savings,348825
100882,454,Salary,809764
100883,454,Salary,548222
100884,454,Salary,815735
100885,455,Current,830624
100886,455,Savings,601267
100887,455,Salary,308064
100888,456,Savings,319592
100889,457,Salary,669218
100890,457,Salary,560309
100891,458,Salary,337456
100892,459,Savings,729928
100893,459,Savings,391498
100894,459,Current,895411
100895,460,Current,544704
100896,460,Savings,63756
100897,460,Salary,38262
100898,461,Current,928777
100899,461,Savings,519836
100900,461,Salary,241719
100901,462,Current,170757
100902,463,Savings,564076
100903,463,Current,317019
100904,464,Savings,157158
100905,464,Salary,275293
100906,465,Salary,746868
100907,465,Savings,320441
100908,466,Savings,602003
100909,467,Salary,80860
100910,468,Savings,489094
100911,469,Salary,858701
100912,469,Salary,386972
100913,470,Savings,394561
100914,470,Salary,379560
100915,471,Savings,9205
100916,471,Current,299730
100917,471,Salary,621161
100918,472,Current,786084
100919,473,Savings,95795
100920,473,Savings,670191
100921,474,Savings,144142
100922,474,Savings,621118
100923,475,Current,578776
100924,475,Salary,285425
100925,476,Salary,528954
100926,476,Savings,685774
100927,476,Salary,114538
100928,477,Salary,663670
100929,478,Salary,281107
100930,478,Savings,379564
100931,478,Savings,568522
100932,479,Savings,293647
100933,479,Savings,696491
100934,480,Salary,730021
100935,480,Current,589162
100936,480,Savings,563826
100937,481,Current,628522
100938,481,Current,461531
100939,482,Savings,19727
100940,482,Savings,509923
100941,482,Salary,755576
100942,483,Current,722926
100943,483,Salary,878839
100944,484,Savings,500039
100945,485,Savings,127043
100946,485,Savings,319977
100947,486,Current,407291
100948,486,Current,737807
100949,487,Salary,49389
100950,488,Current,726342
100951,489,Salary,889228
100952,489,Salary,115807
100953,490,Salary,644093
100954,490,Current,229083
100955,490,Savings,236141
100956,491,Current,838201
100957,492,Current,15684
100958,492,Savings,226450
100959,493,Salary,702303
100960,494,Current,640371
100961,494,Savings,147406
100962,494,Current,643132
100963,495,Salary,201204
100964,495,Salary,582519
100965,496,Current,639668
100966,497,Current,82347
100967,497,Savings,119639
100968,498,Salary,819846
100969,499,Savings,911283
100970,500,Current,488236
100971,500,Current,439540
100972,501,Current,922654
100973,501,Salary,59593
100974,501,Savings,542087
100975,502,Savings,458622
100976,502,Salary,439372
100977,502,Savings,62809
100978,503,Savings,169867
100979,503,Savings,780520
100980,503,Current,761070
100981,504,Savings,843189
100982,504,Salary,432180
100983,505,Savings,997365
100984,505,Savings,709253
100985,506,Salary,97792
100986,506,Salary,535805
100987,506,Savings,916943
100988,507,Current,903668
100989,507,Salary,783165
100990,507,Savings,771738
100991,508,Salary,799065
100992,508,Savings,475709
100993,508,Salary,753056
100994,509,Current,730350
100995,509,Current,895764
100996,510,Savings,740070
100997,510,Salary,755806
100998,511,Salary,729792
100999,511,Current,571986
101000,512,Savings,323820
101001,512,Current,751397
101002,512,Savings,658253
101003,513,Salary,805050
101004,514,Savings,145508
101005,514,Salary,338328
101006,515,Savings,212301
101007,515,Current,130322
101008,515,Savings,181343
101009,516,Savings,913682
101010,517,Savings,935544
101011,517,Savings,593336
101012,518,Current,181732
101013,519,Salary,609772
101014,519,Savings,550142
101015,519,Savings,591026
101016,520,Current,919642
101017,520,Savings,819376
101018,520,Current,87061
101019,521,Current,663960
101020,521,Salary,280695
101021,521,Current,188423
101022,522,Salary,769026
101023,522,Salary,450990
101024,523,Savings,88600
101025,523,Current,621278
101026,523,Savings,311543
101027,524,Current,727194
101028,524,Current,266021
101029,524,Savings,870706
101030,525,Savings,485156
101031,526,Salary,871144
101032,526,Salary,742360
101033,526,Current,468981
101034,527,Current,704299
101035,527,Savings,470440
101036,527,Current,596458
101037,528,Current,367449
101038,528,Salary,313929
101039,529,Current,999062
101040,529,Salary,747519
101041,530,Savings,73636
101042,530,Salary,40224
101043,531,Salary,742198
101044,531,Salary,147340
101045,531,Current,534261
101046,532,Savings,567963
101047,533,Current,939412
101048,533,Salary,759836
101049,533,Savings,742646
101050,534,Salary,486474
101051,534,Savings,183771
101052,534,Current,748586
101053,535,Salary,197711
101054,535,Savings,685641
101055,535,Savings,493808
101056,536,Salary,411575
101057,536,Current,371044
101058,537,Current,845000
101059,538,Salary,458219
101060,539,Current,340354
101061,539,Current,264322
101062,539,Savings,645288
101063,540,Salary,859712
101064,541,Savings,431575
101065,541,Salary,481022
101066,542,Salary,341649
101067,542,Current,555907
101068,542,Salary,350824
101069,543,Current,570362
101070,543,Current,809637
101071,544,Current,274184
101072,544,Salary,409340
101073,545,Current,832925
101074,545,Current,656818
101075,545,Salary,6561
101076,546,Salary,827107
101077,547,Savings,352085
101078,547,Current,706895
101079,548,Salary,540102
101080,548,Current,691926
101081,548,Current,627282
101082,549,Current,401204
101083,549,Salary,297089
101084,549,Savings,289519
101085,550,Salary,987677
101086,551,Salary,206729
101087,551,Salary,964410
101088,551,Salary,765848
101089,552,Current,609347
101090,552,Current,254634
101091,552,Salary,183776
101092,553,Current,966447
101093,553,Salary,663301
101094,554,Salary,600453
101095,554,Salary,67421
101096,554,Current,946576
101097,555,Salary,883508
101098,556,Savings,370235
101099,557,Current,473973
101100,557,Savings,422919
101101,557,Salary,117165
101102,558,Savings,265206
101103,558,Savings,412974
101104,559,Current,995836
101105,559,Salary,84399
101106,559,Savings,359772
101107,560,Current,949818
101108,561,Savings,307214
101109,562,Savings,995391
101110,562,Current,101837
101111,562,Current,656976
101112,563,Savings,474142
101113,563,Current,325726
101114,564,Savings,627272
101115,564,Savings,255564
101116,564,Savings,273846
101117,565,Current,449917
101118,565,Current,819293
101119,565,Current,62679
101120,566,Savings,80233
101121,566,Savings,68297
101122,567,Salary,916951
101123,567,Salary,34324
101124,567,Current,269687
101125,568,Salary,30904
101126,568,Savings,270389
101127,569,Savings,809602
101128,570,Savings,958982
101129,571,Salary,851807
101130,571,Current,748635
101131,571,Savings,442056
101132,572,Current,246612
101133,573,Current,340609
101134,573,Salary,916304
101135,574,Salary,682693
101136,574,Salary,585445
101137,575,Current,395445
101138,575,Salary,346263
101139,576,Salary,119203
101140,577,Savings,42456
101141,577,Salary,83684
101142,578,Salary,406720
101143,578,Savings,739702
101144,579,Current,218513
101145,579,Current,416886
101146,580,Salary,9483
101147,580,Savings,637723
101148,581,Savings,872205
101149,581,Savings,311500
101150,581,Salary,959192
101151,582,Current,673603
101152,582,Current,432236
101153,583,Salary,311326
101154,583,Savings,366180
101155,584,Savings,373644
101156,584,Salary,533919
101157,584,Current,13343
101158,585,Current,911484
101159,585,Salary,146334
101160,585,Current,250513
101161,586,Current,498993
101162,587,Salary,522268
101163,588,Current,955192
101164,588,Savings,831069
101165,589,Current,402218
101166,589,Current,441757
101167,590,Current,676302
101168,590,Savings,684666
101169,590,Savings,621760
101170,591,Salary,75153
101171,591,Salary,195127
101172,591,Savings,988222
101173,592,Salary,880465
101174,593,Savings,64017
101175,594,Current,559063
101176,594,Savings,656152
101177,594,Current,436232
101178,595,Salary,931084
101179,595,Salary,901903
101180,595,Current,326910
101181,596,Savings,362628
101182,596,Savings,333575
101183,597,Current,209127
101184,598,Current,134117
101185,598,Current,911165
101186,598,Savings,565201
101187,599,Savings,580788
101188,600,Current,403418
101189,601,Savings,585801
101190,602,Salary,512091
101191,603,Current,600456
101192,603,Savings,115268
101193,603,Current,827248
101194,604,Salary,530006
101195,605,Current,511819
101196,606,Current,587380
